volcanoNumber;volcanoName;Eruption Number;Eruption Category;Area of Activity;VEI;VEI Modifier;edate;StartYear;Start Year Uncertainty;Start Month;Start Day Modifier;Start Day;Start Day Uncertainty;Evidence Method (dating);End Year;End Year Uncertainty;End Month;End Day Modifier;End Day;End Day Uncertainty;Latitude;Longitude
345070;Turrialba;22403;Confirmed Eruption;;1;;2021-6-13;2021;;6;;13;;Observations: Reported;2021;;7;;23;;10,025;-83,767
311120;Great Sitkin;22401;Confirmed Eruption;;2;;2021-5-25;2021;;5;;25;;Observations: Reported;2025;;5;;2;;52,076;-176,13
262000;Krakatau;22426;Confirmed Eruption;Anak Krakatau;2;;2021-5-25;2021;;5;;25;;Observations: Reported;2023;;12;;20;;-6,1009;105,4233
263200;Dieng Volcanic Complex;22397;Confirmed Eruption;;1;;2021-4-29;2021;;4;;29;;Observations: Reported;2021;;4;;29;;-7,2;109,879
344040;Telica;22402;Confirmed Eruption;;1;;2021-4-21;2021;;4;;21;;Observations: Reported;2022;;3;;29;;12,606;-86,84
233020;Fournaise, Piton de la;22395;Confirmed Eruption;Enclos Fouque caldera, 700 m S of Château Fort;0;;2021-4-9;2021;;4;;9;;Observations: Seismicity;2021;;5;;24;;-21,244;55,708
290360;Chikurachki;22435;Confirmed Eruption;;1;;2021-3-21;2021;;3;;21;;Observations: Satellite (visual);2021;;8;;25;;50,324;155,461
371032;Fagradalsfjall;22399;Confirmed Eruption;;0;;2021-3-19;2021;;3;;19;;Observations: Reported;2021;;9;;18;;63,895;-22,258
312070;Veniaminof;22393;Confirmed Eruption;;1;;2021-2-28;2021;;2;;28;;Observations: Reported;2021;;4;;5;;56,17;-159,38
311060;Semisopochnoi;22392;Confirmed Eruption;North Cerberus;2;;2021-2-2;2021;;2;;2;2;Observations: Reported;2023;;5;;5;;51,93;179,58
263340;Raung;22383;Confirmed Eruption;;2;;2021-1-21;2021;;1;;21;;Observations: Reported;2021;;4;;14;;-8,119;114,056
263250;Merapi;22381;Confirmed Eruption;;1;;2020-12-31;2020;;12;;31;;Observations: Reported;2025;;5;;2;;-7,54;110,446
284120;Ioto;22523;Confirmed Eruption;Asodai Sinkhole;1;;2020-12-28;2020;;12;;28;;Observations: Reported;2021;;4;?;5;;24,751;141,289
360150;Soufriere St. Vincent;22385;Confirmed Eruption;;4;;2020-12-27;2020;;12;;27;;Observations: Reported;2021;;4;;22;;13,33;-61,18
344020;San Cristobal;22394;Confirmed Eruption;;2;;2020-12-27;2020;;12;?;27;;Observations: Reported;2022;;6;;26;;12,702;-87,004
263310;Tengger Caldera;22382;Confirmed Eruption;;1;;2020-12-26;2020;;12;;26;;Observations: Reported;2020;;12;;28;;-7,942;112,95
332010;Kilauea;22380;Confirmed Eruption;;0;;2020-12-20;2020;;12;;20;;Observations: Reported;2021;;5;;23;;19,421;-155,287
233020;Fournaise, Piton de la;22371;Confirmed Eruption;WSW flank of Dolomieu cone at elevations between 2,300 and 2,190 m;0;;2020-12-7;2020;;12;;7;;Observations: Seismicity;2020;;12;;8;;-21,244;55,708
264230;Lewotolok;22373;Confirmed Eruption;;2;;2020-11-27;2020;;11;;27;;Observations: Reported;2024;;8;;20;;-8,274;123,508
282060;Kikai;22374;Confirmed Eruption;;1;;2020-10-6;2020;;10;;6;;Observations: Reported;2020;;10;;6;;30,793;130,305
282050;Kuchinoerabujima;22391;Confirmed Eruption;;1;;2020-8-29;2020;;8;;29;;Observations: Reported;2020;;8;;29;;30,443;130,217
261080;Sinabung;22365;Confirmed Eruption;;3;;2020-8-8;2020;;8;;8;;Observations: Reported;2021;;9;;23;;3,17;98,392
344040;Telica;22368;Confirmed Eruption;;1;;2020-7-20;2020;;7;;20;;Observations: Reported;2020;;12;;9;;12,606;-86,84
263340;Raung;22367;Confirmed Eruption;;1;;2020-7-16;2020;;7;;16;;Observations: Reported;2020;;10;;3;;-8,119;114,056
345070;Turrialba;22369;Confirmed Eruption;;1;;2020-6-18;2020;;6;;18;;Observations: Reported;2020;;8;;24;;10,025;-83,767
357090;Copahue;22376;Confirmed Eruption;Agrio Crater;2;;2020-6-16;2020;;6;;16;;Observations: Reported;2020;;11;;2;;-37,856;-71,183
311240;Cleveland;22361;Confirmed Eruption;;3;;2020-6-1;2020;;6;;1;;Observations: Reported;2020;;6;;1;;52,825;-169,944
282060;Kikai;22359;Confirmed Eruption;;1;;2020-4-29;2020;;4;;29;;Observations: Reported;2020;;4;;29;;30,793;130,305
300130;Karymsky;22360;Confirmed Eruption;;3;;2020-4-1;2020;;4;;1;;Observations: Reported;2022;;8;;7;;54,049;159,443
266030;Soputan;22354;Confirmed Eruption;;2;;2020-3-23;2020;;3;;23;;Observations: Reported;2020;;4;;2;;1,112;124,737
290240;Sarychev Peak;22384;Confirmed Eruption;;1;;2020-2-29;2020;;2;;29;1;Observations: Reported;2021;;11;;26;;48,092;153,2
343100;San Miguel;22355;Confirmed Eruption;;1;;2020-2-22;2020;;2;;22;;Observations: Reported;2020;;2;;22;;13,434;-88,269
233020;Fournaise, Piton de la;22343;Confirmed Eruption;E flank of Dolomieu cone between the rim and 2,000 m elevation;0;;2020-2-10;2020;;2;;10;;Observations: Seismicity;2020;;4;;6;;-21,244;55,708
345020;Rincon de la Vieja;22346;Confirmed Eruption;;2;;2020-1-30;2020;;1;;30;;Observations: Reported;2020;;12;;13;;10,83;-85,324
353010;Fernandina;22347;Confirmed Eruption;;0;;2020-1-12;2020;;1;;12;;Observations: Reported;2020;;1;;13;;-0,37;-91,55
273070;Taal;22344;Confirmed Eruption;;4;;2020-1-12;2020;;1;;12;;Observations: Reported;2020;;1;;22;;14,0106;120,9975
282050;Kuchinoerabujima;22345;Confirmed Eruption;;3;;2020-1-11;2020;;1;;11;;Observations: Reported;2020;;5;;13;;30,443;130,217
241040;Whakaari/White Island;22338;Confirmed Eruption;1978/90 Crater Complex;2;;2019-12-9;2019;;12;;9;;Observations: Reported;2019;;12;;9;;-37,52;177,18
311060;Semisopochnoi;22341;Confirmed Eruption;North Cerberus;1;;2019-12-7;2019;;12;;7;;Observations: Reported;2020;;6;;19;;51,93;179,58
284096;Nishinoshima;22340;Confirmed Eruption;Central cone of 2013 island;1;;2019-12-5;2019;;12;;5;;Observations: Reported;2020;;8;;27;;27,247;140,874
282060;Kikai;22339;Confirmed Eruption;;2;;2019-11-2;2019;;11;;2;;Observations: Reported;2019;;11;;2;;30,793;130,305
243070;Lateiki;22334;Confirmed Eruption;;1;;2019-10-13;2019;;10;;13;;Observations: Reported;2019;;10;;22;;-19,18;-174,87
283110;Asamayama;22326;Confirmed Eruption;;2;;2019-8-7;2019;;8;;7;;Observations: Reported;2019;;8;;25;;36,406;138,523
243091;Unnamed;22460;Confirmed Eruption;;3;;2019-8-6;2019;;8;;6;;Observations: Satellite (visual);2019;;8;;8;;-18,325;-174,365
357090;Copahue;22336;Confirmed Eruption;Agrio Crater;2;;2019-8-2;2019;;8;;2;;Observations: Reported;2019;;11;?;12;;-37,856;-71,183
263090;Tangkuban Parahu;22325;Confirmed Eruption;;1;;2019-7-26;2019;;7;;26;;Observations: Reported;2019;;9;;17;;-6,77;107,6
311360;Shishaldin;22330;Confirmed Eruption;Summit crater;3;;2019-7-23;2019;;7;;23;;Observations: Reported;2020;;5;;4;;54,756;-163,97
311060;Semisopochnoi;22328;Confirmed Eruption;;1;;2019-7-16;2019;;7;;16;;Observations: Reported;2019;;8;;24;;51,93;179,58
252120;Ulawun;22319;Confirmed Eruption;;4;;2019-6-26;2019;;6;;26;;Observations: Reported;2019;;10;;5;;-5,05;151,33
354020;Ubinas;22324;Confirmed Eruption;;2;;2019-6-24;2019;;6;;24;;Observations: Reported;2019;;9;;12;;-16,345;-70,8972
290250;Raikoke;22321;Confirmed Eruption;;3;;2019-6-22;2019;;6;;22;;Observations: Reported;2019;;7;;1;;48,292;153,25
233020;Fournaise, Piton de la;22318;Confirmed Eruption;SSE flank of Dolomieu cone;0;;2019-6-11;2019;;6;;11;;Observations: Seismicity;2019;;10;;27;;-21,244;55,708
311120;Great Sitkin;22322;Confirmed Eruption;;1;;2019-6-1;2019;;6;;1;;Observations: Reported;2019;;6;;7;;52,076;-176,13
290240;Sarychev Peak;22320;Confirmed Eruption;;2;;2019-5-16;2019;;5;;16;;Observations: Reported;2019;;10;;7;;48,092;153,2
341040;Colima;22323;Confirmed Eruption;;1;;2019-5-11;2019;;5;;11;;Observations: Reported;2019;;7;;12;;19,514;-103,62
282110;Asosan;22317;Confirmed Eruption;;2;;2019-4-16;2019;;4;;16;;Observations: Reported;2020;;6;;16;;32,8849;131,085
300260;Klyuchevskoy;22310;Confirmed Eruption;;2;;2019-4-9;2019;;4;;9;;Observations: Reported;2021;;3;;20;;56,056;160,642
352090;Sangay;22312;Confirmed Eruption;;2;;2019-3-26;2019;;3;;26;;Observations: Reported;2025;;5;;2;;-2,005;-78,341
